"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"FL","25","R","M","D000600","20316",18,0.439252634442796,0.351803399408752,0.531675779804502,"Diaz-Balart (R FL-25)",209,"Mario","Diaz-Balart"
"NJ","4","R","M","S000522","14863",13,0.439484662810669,0.354700432170979,0.528030246769911,"Smith (R NJ-4)",210,"Christopher","Smith"
"IL","13","R","M","D000619","21328",21,0.45593185547017,0.363430157804195,0.541073387976039,"Davis (R IL-13)",211,"Rodney","Davis"
"NY","1","R","M","Z000017","",8,0.466262895966234,0.379594070530488,0.55830917158259,"Zeldin (R NY-1)",212,"Lee","Zeldin"
"OH","10","R","M","T000463","20342",21,0.483799277632023,0.386141747647472,0.571739826008204,"Turner (R OH-10)",213,"Michael","Turner"
"IL","16","R","M","K000378","21128",12,0.483881125283808,0.390134545779765,0.568363763993712,"Kinzinger (R IL-16)",214,"Adam","Kinzinger"
"IL","18","R","M","S001179","20914",601,0.490452734139407,0.330648555926792,0.64325555510648,"Schock (R IL-18)",215,"Aaron","Schock"
"MI","6","R","M","U000031","15446",5,0.500403389943706,0.410291590329506,0.592094347308861,"Upton (R MI-6)",216,"Fred","Upton"
"AZ","2","R","F","M001197","",5,0.501762572435763,0.415505752674366,0.587937615282406,"McSally (R AZ-2)",217,"Martha","McSally"
"PA","5","R","M","T000467","20946",7,0.503444686216119,0.415776348729964,0.59309027240368,"Thompson (R PA-5)",218,"Glenn","Thompson"
"AK","1","R","M","Y000033","14066",65,0.50449363203793,0.415403711096523,0.594686651804445,"Young (R AK-1)",219,"Don","Young"
"NY","23","R","M","R000585","21101",10,0.504640362855181,0.417288569934022,0.593806815567922,"Reed (R NY-23)",220,"Tom","Reed"
"CA","21","R","M","V000129","21307",10,0.505955537527439,0.423205485725158,0.603633829980263,"Valadao (R CA-21)",221,"David","Valadao"
"OH","14","R","M","J000295","21353",23,0.507636202211771,0.411746233409804,0.599034100088444,"Joyce (R OH-14)",222,"Dave","Joyce"
"NJ","11","R","M","F000372","29541",10,0.519740731902678,0.427423257467276,0.614097151823659,"Frelinghuysen (R NJ-11)",223,"Rodney","Frelinghuysen"
"ID","2","R","M","S001148","29910",17,0.5257899537968,0.434882198166405,0.618872946846287,"Simpson (R ID-2)",224,"Mike","Simpson"
"IL","12","R","M","B001295","",12,0.526318474145134,0.432584301160191,0.617496776958173,"Bost (R IL-12)",225,"Mike","Bost"
"WA","3","R","F","H001056","21187",58,0.52632461065145,0.42548860601665,0.610413014153184,"Herrera Beutler (R WA-3)",226,"Jaime","Herrera Beutler"
"MI","3","R","M","A000367","21143",7,0.529644779949908,0.444255576164594,0.625628843075493,"Amash (R MI-3)",227,"Justin","Amash"
"VA","2","R","M","R000589","21185",7,0.541597240697213,0.455309455398922,0.634536163924988,"Rigell (R VA-2)",228,"Scott","Rigell"
"VA","10","R","F","C001105","",16,0.544954837461123,0.445262471403596,0.638507523391173,"Comstock (R VA-10)",229,"Barbara","Comstock"
"OK","4","R","M","C001053","20344",16,0.548123695484281,0.452612505660457,0.639496475663597,"Cole (R OK-4)",230,"Tom","Cole"
"WV","3","R","M","J000297","",22,0.550681213433456,0.464330262413436,0.646261362552896,"Jenkins (R WV-3)",231,"Evan","Jenkins"
"PA","11","R","M","B001269","21171",45,0.554341083072959,0.460124185091738,0.647915915138122,"Barletta (R PA-11)",232,"Lou","Barletta"
