"Source","Target"
"1327567483","1852171094"
"1327567483","186894716"
"1327567483","218717865"
"1327567483","2303751216"
"1327567483","243214507"
"1327567483","262846232"
"1327567483","274027851"
"1327567483","2860876290"
"1327567483","2888393596"
"1327567483","2929717275"
"1327567483","31354463"
"1327567483","3378514300"
"1327567483","38673058"
"1327567483","51241574"
"1327567483","720070605329010690"
"1327567483","7459282"
"1327567483","807095"
"1327567483","813449437280423936"
"1327567483","826285384262774784"
"1327567483","838396926"
"1327567483","872858864215044096"
"1327567483","885608213420191744"
"1327567483","960353869"
"13393052","16664681"
"13393052","2467791"
"13393052","807095"
"135469780","112448318"
"135469780","186894716"
"1362094614","114865774"
"1362094614","122517396"
"1362094614","1265031758"
"1362094614","15780295"
"1362094614","161475427"
"1362094614","16664681"
"1362094614","18652755"
"1362094614","19265186"
"1362094614","193919217"
"1362094614","19809471"
"1362094614","201321992"
"1362094614","20791157"
"1362094614","22803482"
"1362094614","2467791"
"1362094614","24907127"
"1362094614","27998807"
"1362094614","3167176103"
"1362094614","3180907718"
"1362094614","3363261854"
"1362094614","380523278"
"1362094614","405108328"
"1362094614","48117919"
"1362094614","508164075"
"1362094614","52123405"
"1362094614","57786393"
"1362094614","747587106"
"14926475","18685292"
"14926475","19265186"
"14926475","193919217"
"14926475","378855817"
"14926475","51241574"
"14926475","6603812"
"14926475","791702110416936960"
"14926475","917551703578238976"
"14926475","923006765129613312"
"1539652057","25999985"
"1539652057","3270395184"
"1539652057","3382186754"
"1539652057","593542087"
"1539652057","69655048"
"1539652057","7459282"
"1539652057","748367306"
"15442036","19418459"
"15442036","476256944"
"154638135","114865774"
"154638135","122517396"
"154638135","1362094614"
"154638135","161475427"
"154638135","17358750"
"154638135","18652755"
"154638135","18685292"
"154638135","19265186"
"154638135","19418459"
"154638135","19809471"
"154638135","201321992"
"154638135","22803482"
"154638135","239935774"
"154638135","243214507"
"154638135","24907127"
"154638135","27998807"
"154638135","28220795"
"154638135","284173293"
"154638135","28450231"
"154638135","2936330030"
"154638135","3167176103"
"154638135","3180907718"
"154638135","3363261854"
"154638135","369133270"
"154638135","380523278"
"154638135","405108328"
"154638135","48117919"
"154638135","508164075"
"154638135","510646300"
"154638135","52123405"
"154638135","52932412"
"154638135","57786393"
"154638135","63568032"
"154638135","6603812"
"154638135","709503363574935552"
"154638135","71074656"
"154638135","747587106"
"154638135","89544886"
"15579774","16664681"
"15579774","17358750"
"15579774","18652755"
"15579774","18685292"
"15579774","19809471"
"15579774","27998807"
"15579774","28220795"
"15579774","284173293"
"15579774","28450231"
"15579774","380523278"
"15579774","4805048978"
"15579774","48117919"
"15579774","510646300"
"15579774","51241574"
"15579774","6603812"
"15579774","807095"
"15579774","89544886"
"15754281","16664681"
"15754281","2303751216"
"15754281","2467791"
"15754281","3108351"
"15754281","51241574"
"15754281","759251"
"15754281","807095"
"15780295","114865774"
"15780295","122517396"
"15780295","1265031758"
"15780295","1362094614"
"15780295","154638135"
"15780295","161475427"
"15780295","16664681"
"15780295","180898368"
"15780295","18652755"
"15780295","18685292"
"15780295","19265186"
"15780295","193919217"
"15780295","19418459"
"15780295","19809471"
"15780295","201321992"
"15780295","20791157"
"15780295","22803482"
"15780295","239935774"
"15780295","243214507"
"15780295","24907127"
"15780295","27998807"
"15780295","28220795"
"15780295","284173293"
"15780295","28450231"
"15780295","3108351"
"15780295","3167176103"
"15780295","369133270"
"15780295","378855817"
"15780295","380523278"
"15780295","405108328"
"15780295","4515151"
"15780295","48117919"
"15780295","508164075"
"15780295","510646300"
"15780295","51241574"
"15780295","52123405"
"15780295","52932412"
"15780295","57786393"
"15780295","63568032"
"15780295","6603812"
"15780295","71074656"
"15780295","747587106"
"15780295","807095"
"15780295","89544886"
"161475427","114865774"
"161475427","122517396"
"161475427","15780295"
"161475427","16664681"
"161475427","180898368"
"161475427","18652755"
"161475427","18685292"
"161475427","19265186"
"161475427","19809471"
"161475427","22803482"
"161475427","2467791"
"161475427","27998807"
"161475427","28220795"
"161475427","28450231"
"161475427","3108351"
"161475427","48117919"
"161475427","51241574"
"161475427","52123405"
"161475427","71074656"
"161475427","747587106"
"161475427","759251"
"161475427","807095"
"161475427","89544886"
"16196492","15442036"
"16196492","15754281"
"16196492","16664681"
"16196492","19418459"
"16196492","2303751216"
"16196492","243214507"
"16196492","2467791"
"16196492","3108351"
"16196492","476256944"
"16196492","510646300"
"16196492","51241574"
"16196492","759251"
"16196492","807095"
"165785792","2303751216"
"165785792","24367478"
"16664681","15442036"
"16664681","15754281"
"16664681","17358750"
"16664681","18652755"
"16664681","19418459"
"16664681","19809471"
"16664681","20791157"
"16664681","22803482"
"16664681","2303751216"
"16664681","2467791"
"16664681","3108351"
"16664681","476256944"
"16664681","51241574"
"16664681","759251"
"16664681","76707735"
"16664681","807095"
"17358750","122517396"
"17358750","19418459"
"17358750","19809471"
"17358750","476256944"
"17358750","759251"
"17358750","807095"
"180898368","122517396"
"180898368","15780295"
"180898368","161475427"
"180898368","17358750"
"180898368","18652755"
"180898368","18685292"
"180898368","19265186"
"180898368","19809471"
"180898368","20791157"
"180898368","22803482"
"180898368","239935774"
"180898368","27998807"
"180898368","28220795"
"180898368","28450231"
"180898368","3108351"
"180898368","378855817"
"180898368","491864203"
"180898368","52123405"
"180898368","709503363574935552"
"180898368","71074656"
"180898368","747587106"
"18122308","15754281"
"18122308","16664681"
"18122308","2303751216"
"18122308","2467791"
"18122308","3108351"
"18122308","426802833"
"18122308","51241574"
"18122308","759251"
"18122308","76707735"
"18122308","807095"
"1852171094","112448318"
"1852171094","1137637033"
"1852171094","116630713"
"1852171094","119679411"
"1852171094","119682506"
"1852171094","1327567483"
"1852171094","13393052"
"1852171094","135469780"
"1852171094","186894716"
"1852171094","2303751216"
"1852171094","243214507"
"1852171094","2467791"
"1852171094","262846232"
"1852171094","274027851"
"1852171094","2929717275"
"1852171094","3378514300"
"1852171094","38673058"
"1852171094","426802833"
"1852171094","4515151"
"1852171094","48788647"
"1852171094","7459282"
"1852171094","807095"
"1852171094","838396926"
"1852171094","960353869"
"18652755","114865774"
"18652755","122517396"
"18652755","15780295"
"18652755","161475427"
"18652755","16664681"
"18652755","19265186"
"18652755","193919217"
"18652755","19418459"
"18652755","19809471"
"18652755","201321992"
"18652755","20791157"
"18652755","22803482"
